DATASET_NAME,DATA_FIELD_NAME,DATA_SOURCE_OWNER
Amalgamation Information of firms,CompanyTransactionNumber,ACRA
Amalgamation Information of firms,AmalgamatingCompanyUEN,ACRA
Amalgamation Information of firms,AmalgamatingCompanyName,ACRA
Amalgamation Information of firms,AmalgamatedCompanyUEN,ACRA
Amalgamation Information of firms,AmalgamatedCompanyName,ACRA
Amalgamation Information of firms,AmalgamationIntendedDate,ACRA
Company Capital Information,UEN,ACRA
Company Capital Information,CapitalCurrencyCode,ACRA
Company Capital Information,CapitalShareTypeCode,ACRA
Company Capital Information,CapitalConversionRate,ACRA
Company Capital Information,CapitalShareAllotedAmount,ACRA
Company Capital Information,IssuedCapitalAmount,ACRA
Company Capital Information,PaidupCapitalAmount,ACRA
Financial information of non-gazetted companies,UEN,ACRA
Financial information of non-gazetted companies,EFHFinancialPeriodEndDate,ACRA
Financial information of non-gazetted companies,CurrentPeriodStartDate,ACRA
Financial information of non-gazetted companies,EFHRevenue,ACRA
Financial information of non-gazetted companies,CompanyFinanceCost,ACRA
Financial information of non-gazetted companies,CompanyNetIncomeFromExtraordinaryItem,ACRA
Financial information of non-gazetted companies,CompanyProfitLossBeforeTax,ACRA
Financial information of non-gazetted companies,CompanyProfitLossAfterTax,ACRA
Financial information of non-gazetted companies,CompanyProfitLossFromDiscontinuedOperation,ACRA
Financial information of non-gazetted companies,CompanyTotalAsset,ACRA
Financial information of non-gazetted companies,CompanyTotalCurrentAssetBalanceSheetOnly,ACRA
Financial information of non-gazetted companies,CompanyTotalNonCurrentAssetBalanceSheetOnly,ACRA
Financial information of non-gazetted companies,CompanyTotalLiability,ACRA
Financial information of non-gazetted companies,CompanyTotalCurrentLiabilityBalanceSheetOnly,ACRA
Financial information of non-gazetted companies,CompanyTotalNonCurrentLiabilityBalanceSheetOnly,ACRA
Financial information of non-gazetted companies,CompanyTotalEquity,ACRA
Financial information of non-gazetted companies,CompanyShareCapital,ACRA
Financial information of non-gazetted companies,CompanyOtherReserves,ACRA
Financial information of non-gazetted companies,CompanyAccumulatedProfitLoss,ACRA
Financial information of non-gazetted companies,RecordInconsistencyDenotingIndicator,ACRA
Financial information of non-gazetted companies,HighlightCurrencyCode,ACRA
Financial information of non-gazetted companies,GroupRevenue,ACRA
Financial information of non-gazetted companies,GroupFinanceCost,ACRA
Financial information of non-gazetted companies,GroupNetIncomeLossFromExtraordinaryItem,ACRA
Financial information of non-gazetted companies,GroupProfitLossBeforeTax,ACRA
Financial information of non-gazetted companies,GroupProfitLossAfterTax,ACRA
Financial information of non-gazetted companies,GroupProfitLossFromDiscontinuedOperation,ACRA
Financial information of non-gazetted companies,GroupTotalAsset,ACRA
Financial information of non-gazetted companies,GroupTotalCurrentAssetBalanceSheet,ACRA
Financial information of non-gazetted companies,GroupTotalNonCurrentAssetBalanceSheet,ACRA
Financial information of non-gazetted companies,GroupTotalLiability,ACRA
Financial information of non-gazetted companies,GroupTotalCurrentLiabilityBalanceSheet,ACRA
Financial information of non-gazetted companies,GroupTotalNonCurrentLiabilityBalanceSheet,ACRA
Financial information of non-gazetted companies,GroupTotalEquityAttributableOwners,ACRA
Financial information of non-gazetted companies,GroupShareCapitalPaidupCapital,ACRA
Financial information of non-gazetted companies,GroupOtherReserves,ACRA
Financial information of non-gazetted companies,GroupAccumulatedProfitLoss,ACRA
Financial information of non-gazetted companies,GroupNonControllingInterest,ACRA
Financial information of non-gazetted companies,GroupIndicator,ACRA
Financial information of non-gazetted companies,RoundingLevelForFinancialStatement,ACRA
Financial information of non-gazetted companies,HasFiftyPlusEmployeeIndicator,ACRA
Financial information of non-gazetted companies,CashFlowFromOperatingActivities,ACRA
Financial information of non-gazetted companies,CashFlowFromInvestingActivities,ACRA
Financial information of non-gazetted companies,CashFlowFromFinancingActivities,ACRA
Financial information of non-gazetted companies,GroupCashFlowFromOperatingActivities,ACRA
Financial information of non-gazetted companies,GroupCashFlowFromInvestingActivities,ACRA
Financial information of non-gazetted companies,GroupCashFlowFromFinancingActivities,ACRA
Basic firm information for de-registered firms,UEN,ACRA
Basic firm information for de-registered firms,PrimaryActivityCode,ACRA
Basic firm information for de-registered firms,SecondaryActivityCode,ACRA
Basic firm information for de-registered firms,ChangeOfActivityDate,ACRA
Basic firm information for de-registered firms,RegistrationDate,ACRA
Basic firm information for de-registered firms,DeregistrationDate,ACRA
Basic firm information for de-registered firms,EntityStatusEffectiveDate,ACRA
Basic firm information for de-registered firms,EntityStatusCode,ACRA
Basic firm information for de-registered firms,AddressOne,ACRA
Basic firm information for de-registered firms,AddressOneBlockHouseNumber,ACRA
Basic firm information for de-registered firms,AddressOneLevelNumber,ACRA
Basic firm information for de-registered firms,AddressOneUnitNumber,ACRA
Basic firm information for de-registered firms,AddressOnePostalCode,ACRA
Basic firm information for de-registered firms,AddressOneStreetName,ACRA
Basic firm information for de-registered firms,AddressOneBuildingName,ACRA
Basic firm information for de-registered firms,AddressTwo,ACRA
Basic firm information for de-registered firms,AddressTwoBlockHouseNumber,ACRA
Basic firm information for de-registered firms,AddressTwoLevelNumber,ACRA
Basic firm information for de-registered firms,AddressTwoUnitNumber,ACRA
Basic firm information for de-registered firms,AddressTwoPostalCode,ACRA
Basic firm information for de-registered firms,AddressTwoStreetName,ACRA
Basic firm information for de-registered firms,AddressTwoBuildingName,ACRA
Basic firm information for de-registered firms,AddressThree,ACRA
Basic firm information for de-registered firms,AddressThreeBlockHouseNumber,ACRA
Basic firm information for de-registered firms,AddressThreeLevelNumber,ACRA
Basic firm information for de-registered firms,AddressThreeUnitNumber,ACRA
Basic firm information for de-registered firms,AddressThreePostalCode,ACRA
Basic firm information for de-registered firms,AddressThreeStreetName,ACRA
Basic firm information for de-registered firms,AddressThreeBuildingName,ACRA
Basic firm information for de-registered firms,CountryOfIncorporationCode,ACRA
Basic firm information for de-registered firms,BusinessConstitutionCode,ACRA
Basic firm information for de-registered firms,RenewedDate,ACRA
Basic firm information for de-registered firms,EntityBusinessCommencementDate,ACRA
Basic firm information for de-registered firms,CompanyTypeCode,ACRA
Basic firm information for de-registered firms,GazetteDetailsEffectiveDate_SectionTwelve,ACRA
Basic firm information for de-registered firms,GazetteDetailsEffectiveDate_SectionFour,ACRA
Basic firm information for de-registered firms,GazetteDetailsDegazetteEffectiveDate_SectionTwelve,ACRA
Basic firm information for de-registered firms,GazetteDetailsDegazetteEffectiveDate_SectionFour,ACRA
Basic firm information for de-registered firms,GazetteDate,ACRA
Basic firm information for de-registered firms,LPMASIndicator,ACRA
Basic firm information for de-registered firms,AnnualDeclarationDate,ACRA
Basic firm information for de-registered firms,AnnualDeclarationDueDate,ACRA
Basic firm information for de-registered firms,PreviousUENOne,ACRA
Basic firm information for de-registered firms,PreviousUENTwo,ACRA
Basic firm information for de-registered firms,PreviousUENThree,ACRA
Basic firm information for de-registered firms,EntityType,ACRA
Basic firm information for de-registered firms,EntityName,ACRA
Basic firm information for registered firms,UEN,ACRA
Basic firm information for registered firms,PrimaryActivityCode,ACRA
Basic firm information for registered firms,SecondaryActivityCode,ACRA
Basic firm information for registered firms,ChangeOfActivityDate,ACRA
Basic firm information for registered firms,RegistrationDate,ACRA
Basic firm information for registered firms,DeregistrationDate,ACRA
Basic firm information for registered firms,EntityStatusEffectiveDate,ACRA
Basic firm information for registered firms,EntityStatusCode,ACRA
Basic firm information for registered firms,AddressOne,ACRA
Basic firm information for registered firms,AddressOneBlockHouseNumber,ACRA
Basic firm information for registered firms,AddressOneLevelNumber,ACRA
Basic firm information for registered firms,AddressOneUnitNumber,ACRA
Basic firm information for registered firms,AddressOnePostalCode,ACRA
Basic firm information for registered firms,AddressOneStreetName,ACRA
Basic firm information for registered firms,AddressOneBuildingName,ACRA
Basic firm information for registered firms,AddressTwo,ACRA
Basic firm information for registered firms,AddressTwoBlockHouseNumber,ACRA
Basic firm information for registered firms,AddressTwoLevelNumber,ACRA
Basic firm information for registered firms,AddressTwoUnitNumber,ACRA
Basic firm information for registered firms,AddressTwoPostalCode,ACRA
Basic firm information for registered firms,AddressTwoStreetName,ACRA
Basic firm information for registered firms,AddressTwoBuildingName,ACRA
Basic firm information for registered firms,AddressThree,ACRA
Basic firm information for registered firms,AddressThreeBlockHouseNumber,ACRA
Basic firm information for registered firms,AddressThreeLevelNumber,ACRA
Basic firm information for registered firms,AddressThreeUnitNumber,ACRA
Basic firm information for registered firms,AddressThreePostalCode,ACRA
Basic firm information for registered firms,AddressThreeStreetName,ACRA
Basic firm information for registered firms,AddressThreeBuildingName,ACRA
Basic firm information for registered firms,CountryOfIncorporationCode,ACRA
Basic firm information for registered firms,BusinessConstitutionCode,ACRA
Basic firm information for registered firms,RenewedDate,ACRA
Basic firm information for registered firms,EntityBusinessCommencementDate,ACRA
Basic firm information for registered firms,CompanyTypeCode,ACRA
Basic firm information for registered firms,GazetteDetailsEffectiveDate_SectionTwelve,ACRA
Basic firm information for registered firms,GazetteDetailsEffectiveDate_SectionFour,ACRA
Basic firm information for registered firms,GazetteDetailsDegazetteEffectiveDate_SectionTwelve,ACRA
Basic firm information for registered firms,GazetteDetailsDegazetteEffectiveDate_SectionFour,ACRA
Basic firm information for registered firms,GazetteDate,ACRA
Basic firm information for registered firms,LPMASIndicator,ACRA
Basic firm information for registered firms,AnnualDeclarationDate,ACRA
Basic firm information for registered firms,AnnualDeclarationDueDate,ACRA
Basic firm information for registered firms,PreviousUENOne,ACRA
Basic firm information for registered firms,PreviousUENTwo,ACRA
Basic firm information for registered firms,PreviousUENThree,ACRA
Basic firm information for registered firms,EntityType,ACRA
Basic firm information for registered firms,EntityName,ACRA
Liquidator information of firms,UEN,ACRA
Liquidator information of firms,LiquidatorReceiverEntityUEN,ACRA
Liquidator information of firms,AppointmentTypeCode,ACRA
Liquidator information of firms,LiquidatorReceiverIdentificationNumber,ACRA
Shareholder information of non-gazetted companies only,CompanyUEN,ACRA
Shareholder information of non-gazetted companies only,ShareholderCategory,ACRA
Shareholder information of non-gazetted companies only,ShareholderCompanyProfileUEN,ACRA
Shareholder information of non-gazetted companies only,ShareholderPersonIdentificationNumber,ACRA
Shareholder information of non-gazetted companies only,ShareholderShareGroupCode,ACRA
Shareholder information of non-gazetted companies only,ShareholderCurrencyCode,ACRA
Shareholder information of non-gazetted companies only,ShareholderShareTypeCode,ACRA
Shareholder information of non-gazetted companies only,ShareholderShareAllottedNumber,ACRA
Builder Information,UEN,BCA
Builder Information,BuildersLicenseCode,BCA
Builder Information,LicenseDescription,BCA
Builder Information,LicenseExpiryDate,BCA
Builder Information,CompanyAdditionalInformation,BCA
Information of firms registered with BCA,UEN,BCA
Information of firms registered with BCA,WorkheadCode,BCA
Information of firms registered with BCA,WorkheadDescription,BCA
Information of firms registered with BCA,FinancialGrade,BCA
Information of firms registered with BCA,CRSExpiryDate,BCA
Information of firms registered with BCA,CompanyAdditionalInformation,BCA
Corppass Information,cp-system-uid,GOVTECH
Corppass Information,entity-id,GOVTECH
Corppass Information,identity-type,GOVTECH
Corppass Information,identity-number,GOVTECH
Corppass Information,name,GOVTECH
Corppass Information,cp-account-e_mail,GOVTECH
Corppass Information,cp-account-mobile-no,GOVTECH
Corppass Information,account-type,GOVTECH
Corppass Information,access-to-all-esrvc,GOVTECH
Corppass Information,account-status,GOVTECH
Corppass Information,account-creation-date-time,GOVTECH
Corppass Information,last-updated-date-time,GOVTECH
Vehicle Ownership Information for businesses,Owner,LTA
Vehicle Ownership Information for businesses,VehicleNumber,LTA
Vehicle Ownership Information for businesses,OwnershipEffectiveDatetime,LTA
Vehicle Ownership Information for businesses,VehicleType,LTA
Vehicle Ownership Information for businesses,VehicleScheme,LTA
Vehicle Ownership Information for businesses,Attachment1,LTA
Vehicle Ownership Information for businesses,Attachment2,LTA
Vehicle Ownership Information for businesses,Attachment3,LTA
Vehicle Ownership Information for businesses,VehicleMake,LTA
Vehicle Ownership Information for businesses,VehicleModel,LTA
Vehicle Ownership Information for businesses,PrimaryColour,LTA
Vehicle Ownership Information for businesses,SecondaryColour,LTA
Vehicle Ownership Information for businesses,IULabelNumber,LTA
Vehicle Ownership Information for businesses,EngineNumber,LTA
Vehicle Ownership Information for businesses,ChassisNumber,LTA
Vehicle Ownership Information for businesses,EngineCapacity,LTA
Vehicle Ownership Information for businesses,PowerRate,LTA
Vehicle Ownership Information for businesses,Propellant,LTA
Vehicle Ownership Information for businesses,YearofManufacture,LTA
Vehicle Ownership Information for businesses,FirstRegistrationDate,LTA
Vehicle Ownership Information for businesses,OriginalRegistrationDate,LTA
Vehicle Ownership Information for businesses,MaxUnladenWeight,LTA
Vehicle Ownership Information for businesses,MaxLadenWeight,LTA
Vehicle Ownership Information for businesses,OpenMarketValue,LTA
Vehicle Ownership Information for businesses,MinPARFBenefit,LTA
Vehicle Ownership Information for businesses,NoOfTransfer,LTA
Vehicle Ownership Information for businesses,COECategory,LTA
Vehicle Ownership Information for businesses,COEExpiryDate,LTA
Vehicle Ownership Information for businesses,RoadTaxExpiryDate,LTA
Vehicle Ownership Information for businesses,QuotaPremiumPrevailingQuotaPremium,LTA
Vehicle Ownership Information for businesses,CO2Emission,LTA
Vehicle Ownership Information for businesses,COEmission,LTA
Vehicle Ownership Information for businesses,THCEmission,LTA
Vehicle Ownership Information for businesses,NOxEmission,LTA
Vehicle Ownership Information for businesses,PMEmission,LTA
Vehicle Ownership Information for businesses,VehicleStatus,LTA
Vehicle Ownership Information for businesses,MotorNumber,LTA
Vehicle Ownership Information for businesses,PersonIdentity,LTA
Vehicle Ownership Information for businesses,VehicleParkingCertificate,LTA
Vehicle Ownership Information for businesses,TemporaryTransferStartDate,LTA
Vehicle Ownership Information for businesses,TemporaryTransferEndDate,LTA
Vehicle Ownership Information for businesses,VehicleLength,LTA
Vehicle Ownership Information for businesses,VehicleWidth,LTA
Vehicle Ownership Information for businesses,VehicleHeight,LTA
Vehicle Ownership Information for businesses,VehicleDeregistrationDate,LTA
Vehicle Ownership Information for businesses,CurrentInspectionDate,LTA
Vehicle Ownership Information for businesses,NextInspectionDate,LTA
Vehicle Ownership Information for businesses,LastUpdateDate,LTA
Vehicle Ownership Information for businesses,REFERENCE_DT,LTA
Vehicle Ownership Information for individuals,Owner,LTA
Vehicle Ownership Information for individuals,VehicleNumber,LTA
Vehicle Ownership Information for individuals,OwnershipEffectiveDatetime,LTA
Vehicle Ownership Information for individuals,VehicleType,LTA
Vehicle Ownership Information for individuals,VehicleScheme,LTA
Vehicle Ownership Information for individuals,Attachment1,LTA
Vehicle Ownership Information for individuals,Attachment2,LTA
Vehicle Ownership Information for individuals,Attachment3,LTA
Vehicle Ownership Information for individuals,VehicleMake,LTA
Vehicle Ownership Information for individuals,VehicleModel,LTA
Vehicle Ownership Information for individuals,PrimaryColour,LTA
Vehicle Ownership Information for individuals,SecondaryColour,LTA
Vehicle Ownership Information for individuals,IULabelNumber,LTA
Vehicle Ownership Information for individuals,EngineNumber,LTA
Vehicle Ownership Information for individuals,ChassisNumber,LTA
Vehicle Ownership Information for individuals,EngineCapacity,LTA
Vehicle Ownership Information for individuals,PowerRate,LTA
Vehicle Ownership Information for individuals,Propellant,LTA
Vehicle Ownership Information for individuals,YearofManufacture,LTA
Vehicle Ownership Information for individuals,FirstRegistrationDate,LTA
Vehicle Ownership Information for individuals,OriginalRegistrationDate,LTA
Vehicle Ownership Information for individuals,MaxUnladenWeight,LTA
Vehicle Ownership Information for individuals,MaxLadenWeight,LTA
Vehicle Ownership Information for individuals,OpenMarketValue,LTA
Vehicle Ownership Information for individuals,MinPARFBenefit,LTA
Vehicle Ownership Information for individuals,NoOfTransfer,LTA
Vehicle Ownership Information for individuals,COECategory,LTA
Vehicle Ownership Information for individuals,COEExpiryDate,LTA
Vehicle Ownership Information for individuals,RoadTaxExpiryDate,LTA
Vehicle Ownership Information for individuals,QuotaPremiumPrevailingQuotaPremium,LTA
Vehicle Ownership Information for individuals,CO2Emission,LTA
Vehicle Ownership Information for individuals,COEmission,LTA
Vehicle Ownership Information for individuals,THCEmission,LTA
Vehicle Ownership Information for individuals,NOxEmission,LTA
Vehicle Ownership Information for individuals,PMEmission,LTA
Vehicle Ownership Information for individuals,VehicleStatus,LTA
Vehicle Ownership Information for individuals,MotorNumber,LTA
Vehicle Ownership Information for individuals,PersonIdentity,LTA
Vehicle Ownership Information for individuals,VehicleParkingCertificate,LTA
Vehicle Ownership Information for individuals,TemporaryTransferStartDate,LTA
Vehicle Ownership Information for individuals,TemporaryTransferEndDate,LTA
Vehicle Ownership Information for individuals,VehicleLength,LTA
Vehicle Ownership Information for individuals,VehicleWidth,LTA
Vehicle Ownership Information for individuals,VehicleHeight,LTA
Vehicle Ownership Information for individuals,VehicleDeregistrationDate,LTA
Vehicle Ownership Information for individuals,CurrentInspectionDate,LTA
Vehicle Ownership Information for individuals,NextInspectionDate,LTA
Vehicle Ownership Information for individuals,LastUpdateDate,LTA
Vehicle Ownership Information for individuals,REFERENCE_DT,LTA
Foreign employee count by firm,UEN,MOM
Foreign employee count by firm,TotalForeignEmploymentCount,MOM
Foreign employee count by firm,ENTREPASSCount,MOM
Foreign employee count by firm,EPCount,MOM
Foreign employee count by firm,LOCCount,MOM
Foreign employee count by firm,LOCDPCount,MOM
Foreign employee count by firm,LOCLTVPPlusCount,MOM
Foreign employee count by firm,MWPCount,MOM
Foreign employee count by firm,PACount,MOM
Foreign employee count by firm,PEPCount,MOM
Foreign employee count by firm,SPASSCount,MOM
Foreign employee count by firm,TEPCount,MOM
Foreign employee count by firm,TWPCount,MOM
Foreign employee count by firm,WPCount,MOM
Foreign employee count by firm,OccupationGroup1Count,MOM
Foreign employee count by firm,OccupationGroup2Count,MOM
Foreign employee count by firm,OccupationGroup3Count,MOM
Foreign employee count by firm,OccupationGroup4Count,MOM
Foreign employee count by firm,OccupationGroup5Count,MOM
Foreign employee count by firm,OccupationGroup6Count,MOM
Foreign employee count by firm,OccupationGroup7Count,MOM
Foreign employee count by firm,OccupationGroup8Count,MOM
Foreign employee count by firm,OccupationGroup9Count,MOM
Foreign employee count by firm,OccupationGroupXCount,MOM
Foreign employee count by firm,Age24Count,MOM
Foreign employee count by firm,Age25_29Count,MOM
Foreign employee count by firm,Age30_34Count,MOM
Foreign employee count by firm,Age35_39Count,MOM
Foreign employee count by firm,Age40_44Count,MOM
Foreign employee count by firm,Age45_49Count,MOM
Foreign employee count by firm,Age50_54Count,MOM
Foreign employee count by firm,Age55_59Count,MOM
Foreign employee count by firm,Age60_64Count,MOM
Foreign employee count by firm,Age65Count,MOM
Foreign employee count by firm,FemaleCount,MOM
Foreign employee count by firm,MaleCount,MOM
Foreign employee count by firm,HigherSkilledWorkerCount,MOM
Foreign employee count by firm,BasicSkilledWorkerCount,MOM
Foreign employee count by firm,MaritalStatusSingleCount,MOM
Foreign employee count by firm,MaritalStatusMarriedCount,MOM
Foreign employee count by firm,MaritalStatusWidowedCount,MOM
Foreign employee count by firm,MaritalStatusSeparatedCount,MOM
Foreign employee count by firm,MaritalStatusDivorcedCount,MOM
Foreign employee count by firm,MaritalStatusNotReportedCount,MOM
Application and Approval of Grants on Business Grants Portal (BGP),UEN,MTI
Application and Approval of Grants on Business Grants Portal (BGP),DevelopmentCategoryCode,MTI
Application and Approval of Grants on Business Grants Portal (BGP),FunctionalAreaCode,MTI
Application and Approval of Grants on Business Grants Portal (BGP),SubFunctionalAreaCode,MTI
Application and Approval of Grants on Business Grants Portal (BGP),SectorCode,MTI
Application and Approval of Grants on Business Grants Portal (BGP),AgencyCode,MTI
Application and Approval of Grants on Business Grants Portal (BGP),GrantStatusCode,MTI
Application and Approval of Grants on Business Grants Portal (BGP),ApplicationID,MTI
Application and Approval of Grants on Business Grants Portal (BGP),GrantCode,MTI
Application and Approval of Grants on Business Grants Portal (BGP),ApprovedAmountInSGD,MTI
Application and Approval of Grants on Business Grants Portal (BGP),SubmittedOn,MTI
Application and Approval of Grants on Business Grants Portal (BGP),LastUpdateDate,MTI
Application and Approval of Grants on Business Grants Portal (BGP),SSOTGrantCode,MTI
Application and Approval of Grants on Business Grants Portal (BGP),OfferDatetime,MTI
Application and Approval of Grants on Business Grants Portal (BGP),AcceptanceDatetime,MTI
Application and Approval of Grants on Business Grants Portal (BGP),ClaimsExpiryDate,MTI
Application and Approval of Grants on Business Grants Portal (BGP),LatestAnnualRevenueatApplication,MTI
Board information of firms,FirmUEN,ACRA
Board information of firms,EntityUEN,ACRA
Board information of firms,PersonIdentificationNumber,ACRA
Board information of firms,PositionHeldCode,ACRA
Board information of firms,CategoryCode,ACRA
Board information of firms,PositionAppointmentDate,ACRA
Board information of firms,PositionWithdrawnWithdrawalDate,ACRA
HDB Housing Grants,UIN,HDB
HDB Housing Grants,TypeOfHousingGrant,HDB
HDB Housing Grants,GrantAmount,HDB
HDB Housing Grants,ApprovedDate,HDB
HDB Ownership,UIN,HDB
HDB Ownership,NoOfOwners,HDB
HDB Ownership,BlockNo,HDB
HDB Ownership,FloorNo,HDB
HDB Ownership,UnitNo,HDB
HDB Ownership,StreetName,HDB
HDB Ownership,PostalCode,HDB
HDB Ownership,HDBFlatAddress,HDB
HDB Ownership,TypeOfHDBDwelling,HDB
HDB Ownership,LeaseCommencementDate,HDB
HDB Ownership,TermsOfLease,HDB
HDB Ownership,DateOfPurchase,HDB
HDB Ownership,DateOfTransferOfOwnership,HDB
HDB Ownership,PurchasePrice,HDB
HDB Rental Flats,TenantIdentityNumber,HDB
HDB Rental Flats,IdentityNumberType,HDB
HDB Rental Flats,BlockNo,HDB
HDB Rental Flats,FloorNo,HDB
HDB Rental Flats,UnitNo,HDB
HDB Rental Flats,StreetName,HDB
HDB Rental Flats,PostalCode,HDB
HDB Rental Flats,HDBFlatAddress,HDB
HDB Rental Flats,TypeOfHDBDwelling,HDB
HDB Rental Flats,RentalHousingScheme,HDB
HDB Rental Flats,OriginalRentalCommencementDate,HDB
HDB Rental Flats,RentalAmount,HDB
Private residential property ownership,UIN,IRAS
Private residential property ownership,PrivateResidentialPropertyInd,IRAS
Yearly Assessable Income,UIN,IRAS
Yearly Assessable Income,Yearly Assessable Income,IRAS
Demographics data on Alive Singapore Citizens and Permanent Residents,UIN,ICA
